,index,author,name,line,lemmed_line,name
0,0,Михаил Лермонтов,Забывши волнения жизни мятежной...,"Забывши волнения жизни мятежной,",забывать волнение жизнь мятежный,Забывши волнения жизни мятежной...
1,0,Михаил Лермонтов,Забывши волнения жизни мятежной...,Один жил в пустыне рыбак молодой.,один жить в пустыня рыбак молодой,Забывши волнения жизни мятежной...
2,0,Михаил Лермонтов,Забывши волнения жизни мятежной...,"Однажды на скале прибрежной,",однажды на скала прибрежный,Забывши волнения жизни мятежной...
3,0,Михаил Лермонтов,Забывши волнения жизни мятежной...,Над тихой прозрачной рекой,над тихий прозрачный река,Забывши волнения жизни мятежной...
4,0,Михаил Лермонтов,Забывши волнения жизни мятежной...,Он с удой беспечно,он с удой беспечно,Забывши волнения жизни мятежной...
5,0,Михаил Лермонтов,Забывши волнения жизни мятежной...,Сидел,сидеть,Забывши волнения жизни мятежной...
6,0,Михаил Лермонтов,Забывши волнения жизни мятежной...,И думой сердечной,и дума сердечный,Забывши волнения жизни мятежной...
7,0,Михаил Лермонтов,Забывши волнения жизни мятежной...,К прошедшему счастью летел.,к прошедшее счастие лететь,Забывши волнения жизни мятежной...
8,1,Сергей Есенин,"Нивы сжаты, рощи голы...","Нивы сжаты, рощи голы,",нива сжатый роща гол,"Нивы сжаты, рощи голы..."
9,1,Сергей Есенин,"Нивы сжаты, рощи голы...",От воды туман и сырость.,от вода туман и сырость,"Нивы сжаты, рощи голы..."
10,1,Сергей Есенин,"Нивы сжаты, рощи голы...",Колесом за сини горы,колесо за синь гора,"Нивы сжаты, рощи голы..."
11,1,Сергей Есенин,"Нивы сжаты, рощи голы...",Солнце тихое скатилось.,солнце тихий скатиться,"Нивы сжаты, рощи голы..."
12,1,Сергей Есенин,"Нивы сжаты, рощи голы...",Дремлет взрытая дорога.,дремать взрыть дорога,"Нивы сжаты, рощи голы..."
13,1,Сергей Есенин,"Нивы сжаты, рощи голы...","Ей сегодня примечталось,",она сегодня примечтаться,"Нивы сжаты, рощи голы..."
14,1,Сергей Есенин,"Нивы сжаты, рощи голы...",Что совсем-совсем немного,что совсем совсем немного,"Нивы сжаты, рощи голы..."
15,1,Сергей Есенин,"Нивы сжаты, рощи голы...",Ждать зимы седой осталось.,ждать зима седой оставаться,"Нивы сжаты, рощи голы..."
16,1,Сергей Есенин,"Нивы сжаты, рощи голы...","Ах, и сам я в чаще звонкой",ах и сам я в чаща звонкий,"Нивы сжаты, рощи голы..."
17,1,Сергей Есенин,"Нивы сжаты, рощи голы...",Увидал вчера в тумане:,увидать вчера в туман,"Нивы сжаты, рощи голы..."
18,1,Сергей Есенин,"Нивы сжаты, рощи голы...",Рыжий месяц жеребенком,рыжий месяц жеребенок,"Нивы сжаты, рощи голы..."
19,1,Сергей Есенин,"Нивы сжаты, рощи голы...",Запрягался в наши сани.,запрягаться в наш сани,"Нивы сжаты, рощи голы..."
20,2,Игорь Северянин,ЧАРЫ ЛЮЧИНЬ,"Лючинь печальная читала вечером ручьисто-вкрадчиво,",лючинь печальный читать вечер ручьистый вкрадчивый,ЧАРЫ ЛЮЧИНЬ
21,2,Игорь Северянин,ЧАРЫ ЛЮЧИНЬ,"Так чутко чувствуя журчащий вычурно чужой ей плач,",так чутко чувствовать журчать вычурно чужой она плач,ЧАРЫ ЛЮЧИНЬ
22,2,Игорь Северянин,ЧАРЫ ЛЮЧИНЬ,"И, в человечестве чтя нечто вечное, чем чушь Бокаччио,",и в человечество чтить нечто вечный чем чушь бокаччио,ЧАРЫ ЛЮЧИНЬ
23,2,Игорь Северянин,ЧАРЫ ЛЮЧИНЬ,"От чар отчаянья кручинно-скучная, чла час удач.",от чары отчаяние кручинный скучный чла час удача,ЧАРЫ ЛЮЧИНЬ
24,2,Игорь Северянин,ЧАРЫ ЛЮЧИНЬ,"Чернела, чавкая, чумазой нечистью, ночь бесконечная,",чернеть чавкать чумазый нечисть ночь бесконечный,ЧАРЫ ЛЮЧИНЬ
25,2,Игорь Северянин,ЧАРЫ ЛЮЧИНЬ,"И челны чистые, как пчелы - птенчики безречных встреч,",и челн чистый как пчела птенчик безречный встреча,ЧАРЫ ЛЮЧИНЬ
26,2,Игорь Северянин,ЧАРЫ ЛЮЧИНЬ,"Чудили всячески, от качки с течами полуувечные,",чудить всячески от качка с течь полуувечный,ЧАРЫ ЛЮЧИНЬ
27,2,Игорь Северянин,ЧАРЫ ЛЮЧИНЬ,Чьи очи мрачные из чисел чудную чеканят речь.,чей око мрачный из число чудный чеканить речь,ЧАРЫ ЛЮЧИНЬ
28,2,Игорь Северянин,ЧАРЫ ЛЮЧИНЬ,Чьи очи мрачные из чисел чудную чеканят речь пречистую.,чей око мрачный из число чудный чеканить речь пречистый,ЧАРЫ ЛЮЧИНЬ
29,2,Игорь Северянин,ЧАРЫ ЛЮЧИНЬ,Отлично честная Лючинь сердечная лечила чад,отлично честный лючинь сердечный лечить чадо,ЧАРЫ ЛЮЧИНЬ
